MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1007034026649,18.031,0.128,94.31603,-7.82822,55979.17810,0
1007034026649,18.054,0.128,94.31570,-7.82860,56008.11160,0
1007034026649,17.941,0.123,94.31618,-7.82796,56008.12073,0
1007034026649,17.942,0.123,94.31581,-7.82806,56008.12979,0
1007034026649,18.219,0.137,94.31641,-7.82752,56008.13888,0
1007034026654,18.428,0.160,94.28681,-7.83326,54830.27443,0
1007034026654,18.366,0.155,94.28695,-7.83328,54830.27983,0
1007034026654,18.368,0.155,94.28686,-7.83319,54830.28523,0
1007034026654,18.386,0.157,94.28690,-7.83330,54830.29053,0
1007034026654,18.489,0.164,94.28688,-7.83331,54830.29593,0
1007034026654,18.081,0.152,94.28691,-7.83346,54527.21398,0
1007034026654,18.346,0.172,94.28677,-7.83363,54527.22118,0
1007034026654,19.123,0.242,94.28675,-7.83347,54527.22838,0
1007034026654,18.223,0.163,94.28691,-7.83330,54527.23557,0
1007034026654,18.379,0.173,94.28693,-7.83334,54794.44231,0
1007034026654,18.217,0.170,94.28664,-7.83331,54794.44623,0
1007034026654,18.318,0.180,94.28682,-7.83337,54794.45014,0
1007034026654,18.416,0.186,94.28686,-7.83345,54794.45407,0
1007034026654,18.592,0.195,94.28680,-7.83327,54794.45801,0
1007034026654,18.298,0.139,94.28687,-7.83331,55157.43709,0
1007034026654,18.498,0.152,94.28701,-7.83329,55157.44256,0
1007034026654,18.240,0.136,94.28676,-7.83334,55157.44802,0
1007034026654,18.646,0.167,94.28682,-7.83328,55157.45356,0
1007034026654,18.496,0.152,94.28678,-7.83344,55157.45913,0
1007034026654,18.572,0.163,94.28660,-7.83343,55517.32235,0
1007034026654,18.311,0.145,94.28679,-7.83350,55517.33275,0
1007034026654,18.584,0.163,94.28681,-7.83324,55517.33797,0
1007034026654,18.464,0.152,94.28676,-7.83335,55599.19135,0
1007034026654,18.496,0.155,94.28691,-7.83329,55599.19764,0
1007034026654,18.389,0.147,94.28687,-7.83326,55599.20394,0
1007034026654,18.455,0.152,94.28690,-7.83326,55599.21019,0
1007034026654,18.490,0.151,94.28684,-7.83337,55889.40125,0
1007034026654,18.470,0.149,94.28666,-7.83343,55889.40906,0
1007034026654,18.453,0.149,94.28690,-7.83334,55889.41701,0
1007034026654,18.441,0.148,94.28680,-7.83343,55889.42493,0
1007034026654,18.429,0.148,94.28667,-7.83331,55922.27177,0
1007034026654,18.346,0.143,94.28686,-7.83333,55922.27788,0
1007034026654,18.505,0.153,94.28670,-7.83340,55922.28409,0
1007034026654,18.606,0.160,94.28671,-7.83340,55922.29031,0
1007034026654,18.589,0.161,94.28670,-7.83335,55979.15790,0
1007034026654,18.355,0.146,94.28686,-7.83341,55979.16465,0
1007034026654,18.393,0.148,94.28671,-7.83328,55979.17136,0
1007034026654,18.437,0.151,94.28689,-7.83319,55979.17810,0
1007034026654,18.225,0.137,94.28677,-7.83329,56008.11160,0
1007034026654,18.624,0.163,94.28683,-7.83328,56008.12073,0
1007034026654,18.448,0.151,94.28674,-7.83327,56008.12979,0
1007034026654,18.365,0.146,94.28693,-7.83335,56008.13888,0
1007034026662,14.824,0.060,94.29928,-7.83107,54830.27443,0
1007034026662,14.823,0.060,94.29928,-7.83108,54830.27983,0
1007034026662,14.824,0.060,94.29925,-7.83105,54830.28523,0
1007034026662,14.807,0.060,94.29928,-7.83108,54830.29053,0
1007034026662,14.787,0.060,94.29927,-7.83106,54830.29593,0
1007034026662,14.833,0.062,94.29928,-7.83103,54527.21398,0
1007034026662,14.827,0.062,94.29928,-7.83104,54527.22118,0
1007034026662,14.874,0.062,94.29926,-7.83103,54527.22838,0
1007034026662,14.825,0.062,94.29928,-7.83101,54527.23557,0
1007034026662,14.845,0.062,94.29926,-7.83106,54794.44231,0
1007034026662,14.785,0.062,94.29931,-7.83103,54794.44623,0
1007034026662,14.807,0.063,94.29931,-7.83106,54794.45014,0
1007034026662,14.830,0.063,94.29927,-7.83105,54794.45407,0
1007034026662,14.842,0.062,94.29926,-7.83109,54794.45801,0
1007034026662,14.851,0.059,94.29928,-7.83107,55157.43709,0
1007034026662,14.829,0.059,94.29929,-7.83106,55157.44256,0
1007034026662,14.836,0.059,94.29928,-7.83107,55157.44802,0
1007034026662,14.855,0.059,94.29926,-7.83107,55157.45356,0
1007034026662,14.841,0.059,94.29930,-7.83108,55157.45913,0
1007034026662,14.800,0.059,94.29928,-7.83112,55517.32235,0
1007034026662,14.815,0.059,94.29929,-7.83108,55517.33275,0
1007034026662,14.845,0.059,94.29928,-7.83109,55517.33797,0
1007034026662,14.814,0.059,94.29930,-7.83109,55599.19135,0
1007034026662,14.816,0.059,94.29930,-7.83106,55599.19764,0
1007034026662,14.827,0.059,94.29927,-7.83106,55599.20394,0
1007034026662,14.818,0.059,94.29929,-7.83105,55599.21019,0
1007034026662,14.842,0.059,94.29926,-7.83108,55889.40125,0
1007034026662,14.841,0.059,94.29925,-7.83107,55889.40906,0
1007034026662,14.869,0.059,94.29925,-7.83106,55889.41701,0
1007034026662,14.841,0.059,94.29924,-7.83107,55889.42493,0
